"name","typeString","addressLineOne","addressLineTwo","city","state","zipFive","zipFour","county","isPoBoxLocation","phone","drivingDirectionsLink","grantNumber","delegateNumber","programName","programAddressLineOne","programAddressLineTwo","programCity","programState","programZipFive","programZipFour","programCounty","programPhone","programRegistrationPhone","latitude","longitude"
"JL Hensey Site","Head Start","304 E Almond Dr","","Washington","IL","61571","3104","Tazewell County",false,"(309) 699-6843","https://maps.google.com?saddr=40.633,-89.399&daddr=40.6875,-89.4874","05CH011120","000","Tazewell-Woodford Head Start","233 Leadley Avenue","","East Peoria","IL","61611","2755","Tazewell County","(309) 699-6843","(309)699-6843",40.6875,-89.4874
"Robein","Head Start","200 Campus Ave","","East Peoria","IL","61611","1601","Tazewell County",false,"(309) 699-6843","https://maps.google.com?saddr=40.633,-89.399&daddr=40.6878,-89.5084","05CH011120","000","Tazewell-Woodford Head Start","233 Leadley Avenue","","East Peoria","IL","61611","2755","Tazewell County","(309) 699-6843","(309)699-6843",40.6878,-89.5084
"Family Center Head Start","Head Start","233 Leadley Ave","","East Peoria","IL","61611","2755","Tazewell County",false,"(309) 699-6843","https://maps.google.com?saddr=40.633,-89.399&daddr=40.6698,-89.5609","05CH011120","000","Tazewell-Woodford Head Start","233 Leadley Avenue","","East Peoria","IL","61611","2755","Tazewell County","(309) 699-6843","(309)699-6843",40.6698,-89.5609
"Early Head Start Home-Based","Early Head Start","616 Abington St","Ste G","Peoria","IL","61603","3521","Peoria County",false,"(309) 495-5254","https://maps.google.com?saddr=40.633,-89.399&daddr=40.7095,-89.5709","05CH010613","200","Peoria Citizens Committee for Economic Opportunity, Inc","616 Abington St","Ste G","Peoria","IL","61603","3521","Peoria County","(309) 495-5254","(309)495-5254 - 290",40.7095,-89.5709
"Creve Coeur Head Start","Head Start","300 N Highland St","","Creve Coeur","IL","61610","3135","Tazewell County",false,"(309) 694-8005","https://maps.google.com?saddr=40.633,-89.399&daddr=40.6492,-89.5975","05CH011120","000","Tazewell-Woodford Head Start","233 Leadley Avenue","","East Peoria","IL","61611","2755","Tazewell County","(309) 694-8005","(309)699-6843",40.6492,-89.5975
"Woodruff Career & Technical Center Head Start","Head Start","1800 NE Perry Ave","","Peoria","IL","61603","3461","Peoria County",false,"(309) 672-6655","https://maps.google.com?saddr=40.633,-89.399&daddr=40.7085,-89.5727","05CH010613","000","Peoria Citizens Committee for Economic Opportunity, Inc","923 W Millman St"," ","Peoria","IL","61605","3771","Peoria County","(309) 672-6655","(309)671-3960",40.7085,-89.5727
"Webster Head Start","Head Start","923 W Millman St","","Peoria","IL","61605","3771","Peoria County",false,"(309) 671-3960","https://maps.google.com?saddr=40.633,-89.399&daddr=40.6838,-89.6093","05CH010613","000","Peoria Citizens Committee for Economic Opportunity, Inc","923 W Millman St"," ","Peoria","IL","61605","3771","Peoria County","(309) 671-3960","(309)671-3960",40.6838,-89.6093
"Eureka Head Start","Head Start","1195 County Road 1600 E","","Eureka","IL","61530","9575","Woodford County",false,"(309) 699-6843","https://maps.google.com?saddr=40.633,-89.399&daddr=40.7631,-89.235","05CH011120","000","Tazewell-Woodford Head Start","233 Leadley Avenue","","East Peoria","IL","61611","2755","Tazewell County","(309) 699-6843","(309)699-6843",40.7631,-89.235
"Harrison Community Learning Center","Head Start","2727 W Krause Ave","","Peoria","IL","61605","2906","Peoria County",false,"(309) 672-6522","https://maps.google.com?saddr=40.633,-89.399&daddr=40.6669,-89.6363","05CH010613","000","Peoria Citizens Committee for Economic Opportunity, Inc","923 W Millman St"," ","Peoria","IL","61605","3771","Peoria County","(309) 672-6522","(309)671-3960",40.6669,-89.6363
"Manual Academy Head Start","Head Start","811 S Griswold St","","Peoria","IL","61605","1458","Peoria County",false,"(309) 672-6600","https://maps.google.com?saddr=40.633,-89.399&daddr=40.6796,-89.6347","05CH010613","000","Peoria Citizens Committee for Economic Opportunity, Inc","923 W Millman St"," ","Peoria","IL","61605","3771","Peoria County","(309) 672-6600","(309)671-3960",40.6796,-89.6347
"Trewyn Head Start","Head Start","2219 S Idaho St","","Peoria","IL","61605","3023","Peoria County",false,"(309) 671-3958","https://maps.google.com?saddr=40.633,-89.399&daddr=40.6631,-89.64","05CH010613","000","Peoria Citizens Committee for Economic Opportunity, Inc","923 W Millman St"," ","Peoria","IL","61605","3771","Peoria County","(309) 671-3958","(309)671-3960",40.6631,-89.64
"BDGP Early Learning Center","Head Start and Early Head Start","4314 N Sheridan Rd","","Peoria","IL","61614","5918","Peoria County",false,"(309) 671-3960","https://maps.google.com?saddr=40.633,-89.399&daddr=40.7403,-89.6024","05CH010613","000","Peoria Citizens Committee for Economic Opportunity, Inc","923 W Millman St"," ","Peoria","IL","61605","3771","Peoria County","(309) 671-3960","(309)671-3960",40.7403,-89.6024
"Pierson Hills Early Head Start","Early Head Start","1826 N Lehman Rd","","Peoria","IL","61604","3862","Peoria County",false,"(309) 839-2106","https://maps.google.com?saddr=40.633,-89.399&daddr=40.7096,-89.6381","05CH010613","200","Peoria Citizens Committee for Economic Opportunity, Inc","616 Abington St","Ste G","Peoria","IL","61603","3521","Peoria County","(309) 839-2106","(309)495-5254 - 290",40.7096,-89.6381
"Pekin Head Start","Head Start","1000 Koch St","","Pekin","IL","61554","5885","Tazewell County",false,"(309) 347-1971","https://maps.google.com?saddr=40.633,-89.399&daddr=40.5524,-89.6383","05CH011120","000","Tazewell-Woodford Head Start","233 Leadley Avenue","","East Peoria","IL","61611","2755","Tazewell County","(309) 347-1971","(309)699-6843",40.5524,-89.6383
"Stillwell West","Head Start and Early Head Start","1407 W Washington St","","Bloomington","IL","61701","4713","McLean County",false,"","https://maps.google.com?saddr=40.633,-89.399&daddr=40.4794,-89.0145","05CH011672","200","Heartland Head Start","206 Stillwell St","","Bloomington","IL","61701","3741","McLean County","","(309)662-4880",40.4794,-89.0145
"Stillwell East","Head Start and Early Head Start","206 Stillwell St","","Bloomington","IL","61701","3741","McLean County",false,"(309) 662-4880","https://maps.google.com?saddr=40.633,-89.399&daddr=40.4802,-89.0136","05CH011672","200","Heartland Head Start","206 Stillwell St","","Bloomington","IL","61701","3741","McLean County","(309) 662-4880","(309)662-4880",40.4802,-89.0136
"Tazewell/Woodford EHS","Early Head Start","403 S State St","","Bloomington","IL","61701","5556","McLean County",false,"(309) 827-0374","https://maps.google.com?saddr=40.633,-89.399&daddr=40.4758,-88.9754","05CH011114","200","Children's Home & Aid Society of Illinois","125 S Wacker Dr Fl 14","","Chicago","IL","60606","4429","Cook County","(309) 827-0374","(773)476-6998",40.4758,-88.9754
"Scott Early Learning & Child Care Center","Head Start and Early Head Start","403 S State St","1119 East Taylor Street","Bloomington","IL","61701","5556","McLean County",false,"(309) 834-5210","https://maps.google.com?saddr=40.633,-89.399&daddr=40.4758,-88.9754","05CH011114","000","Children's Home & Aid Society of Illinois","125 S Wacker Dr","Fl 14","Chicago","IL","60606","4429","Cook County","(309) 834-5210","(773)476-6998",40.4758,-88.9754
